2024-07-22 02:45:17.369 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-07-22 02:46:38.011 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-07-22 02:48:36.297 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-07-22 02:50:18.935 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-07-22 02:52:49.562 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-07-22 02:56:12.310 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 15
2024-07-29 02:29:55.879 | INFO     | get_all_play:get_all_play:73 - Week: 1
2024-07-29 02:31:20.345 | INFO     | get_all_play:get_all_play:73 - Week: 2
2024-07-29 02:33:09.844 | INFO     | get_all_play:get_all_play:73 - Week: 3
2024-07-29 02:34:48.197 | INFO     | get_all_play:get_all_play:73 - Week: 4
2024-07-29 02:36:09.810 | INFO     | get_all_play:get_all_play:73 - Week: 5
2024-07-29 02:37:42.858 | INFO     | get_all_play:get_all_play:73 - Week: 6
2024-07-29 02:39:05.158 | INFO     | get_all_play:get_all_play:73 - Week: 7
2024-07-29 02:41:04.306 | INFO     | get_all_play:get_all_play:73 - Week: 8
2024-07-29 02:42:17.093 | INFO     | get_all_play:get_all_play:73 - Week: 9
2024-07-29 02:43:40.614 | INFO     | get_all_play:get_all_play:73 - Week: 10
2024-07-29 02:45:11.954 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-07-29 02:46:35.944 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-07-29 02:47:48.844 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-07-29 02:49:07.011 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-07-29 02:50:24.120 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-07-29 02:51:37.734 | INFO     | get_all_play:get_all_play:73 - Week: 16
2024-07-29 02:54:09.755 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 16
2024-08-05 02:30:15.175 | INFO     | get_all_play:get_all_play:73 - Week: 1
2024-08-05 02:32:23.808 | INFO     | get_all_play:get_all_play:73 - Week: 2
2024-08-05 02:33:37.414 | INFO     | get_all_play:get_all_play:73 - Week: 3
2024-08-05 02:35:19.776 | INFO     | get_all_play:get_all_play:73 - Week: 4
2024-08-05 02:36:34.718 | INFO     | get_all_play:get_all_play:73 - Week: 5
2024-08-05 02:37:52.855 | INFO     | get_all_play:get_all_play:73 - Week: 6
2024-08-05 02:39:23.259 | INFO     | get_all_play:get_all_play:73 - Week: 7
