,Unnamed: 0,Round,Pick,Player,Team_x,Overall_Pick_x,Team_y,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick_y,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted,R_Rank,H_Rank,HR_Rank,RBI_Rank,SB_Rank,OPS_Rank,WAR_Rank,BLSV_Rank,ER_Rank,ERA_Rank,GS_Rank,HLD_Rank,IP_Rank,K_Rank,K/BB_Rank,L_Rank,SV_Rank,W_Rank,W%_Rank,WHIP_Rank,OPS_Weighted_Rank,Median_Power_Score,Median_Power_Rank,Median_Pick_Power,Median_Pick_Rank,Mean_Power_Score,Mean_Power_Rank,Mean_Pick_Power,Mean_Pick_Rank,Avg_Rank
12,0,2,1.0,Francisco Lindor,Dookie Butts,-8.0,,32129.0,116.0,446.0,74.0,120.0,17.0,3.0,20.0,82.0,48.0,8.0,98.0,11.0,3.0,0.2689999999999999,0.346,0.455,0.802,4.7,,,,,,,,,,,,,,,357.692,7.5,17.5,30.5,6.0,36.5,71.0,8.5,,,,,,,,,,,,,,17.0,24.0,14.0,,,28.166666666666668,8.0,,,10.0
13,1,2,2.0,Whit Merrifield,SQUEEZE AGS,-7.0,,32422.0,95.0,383.0,51.0,92.0,23.0,1.0,6.0,42.0,30.0,0.0,61.0,15.0,3.0,0.24,0.29,0.352,0.643,-0.1,,,,,,,,,,,,,,,246.269,75.5,90.0,205.5,112.0,19.5,284.0,1269.5,,,,,,,,,,,,,,115.0,101.0,92.0,,,131.08333333333334,95.0,,,91.0
14,2,2,3.0,Xander Bogaerts,Midas Well,-6.0,,31606.0,111.0,412.0,63.0,125.0,31.0,0.0,9.0,49.0,42.0,7.0,94.0,7.0,1.0,0.303,0.373,0.444,0.818,3.8,,,,,,,,,,,,,,,337.016,32.0,12.0,143.5,74.0,70.0,54.0,25.5,,,,,,,,,,,,,,21.0,62.0,44.5,,,64.25,31.0,,,34.0
15,3,2,4.0,Carlos Correa,Former 2A Hi...,-5.0,,32653.0,91.0,345.0,50.0,94.0,15.0,0.0,14.0,39.0,44.0,2.0,80.0,0.0,0.0,0.272,0.355,0.4379999999999999,0.7929999999999999,3.3,,,,,,,,,,,,,,,273.585,84.5,84.5,73.5,131.0,786.5,82.5,40.5,,,,,,,,,,,,,,88.0,84.5,71.5,,,207.08333333333334,191.0,,,130.0
16,4,2,5.0,Ronald Acuña Jr.,Ian Cumsler,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,2,6.0,Jacob deGrom,Rickie Flower,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,2,7.0,Marcus Semien,Grand Salami...,-2.0,,32146.0,115.0,467.0,65.0,110.0,18.0,3.0,18.0,57.0,39.0,3.0,81.0,19.0,3.0,0.236,0.294,0.4029999999999999,0.6970000000000001,2.9,,,,,,,,,,,,,,,325.499,24.5,40.0,38.0,46.5,10.0,210.5,51.0,,,,,,,,,,,,,,32.0,39.0,24.0,,,61.583333333333336,28.0,,,25.5
19,7,2,8.0,Yordan Alvarez,#LagrastaWeek,-1.0,,36018.0,100.0,349.0,74.0,103.0,15.0,2.0,31.0,75.0,60.0,4.0,81.0,1.0,1.0,0.295,0.4,0.616,1.016,4.8,,,,,,,,,,,,,,,354.584,7.5,57.5,3.0,10.0,254.5,8.0,7.0,,,,,,,,,,,,,,19.0,9.0,3.0,,,56.75,23.0,,,14.0
20,8,2,9.0,Freddie Freeman,The Rosterba...,0.0,,30193.0,115.0,447.0,81.0,143.0,39.0,2.0,16.0,73.0,57.0,5.0,77.0,10.0,2.0,0.32,0.3979999999999999,0.523,0.922,4.9,,,,,,,,,,,,,,,412.134,3.5,2.0,54.0,13.5,43.0,15.0,6.0,,,,,,,,,,,,,,4.0,14.25,6.0,,,21.833333333333332,4.0,,,4.0
21,9,2,10.0,Mike Trout,Hooked On Kw...,1.0,,30836.0,79.0,282.0,55.0,76.0,17.0,2.0,24.0,51.0,39.0,5.0,97.0,1.0,0.0,0.27,0.368,0.599,0.967,3.8,,,,,,,,,,,,,,,272.694,58.5,147.0,18.0,66.0,254.5,11.0,25.5,,,,,,,,,,,,,,89.0,62.25,46.0,,,92.5,61.0,,,46.0
22,10,2,11.0,Nick Castellanos,$LZ to $15 $...,2.0,,31187.0,115.0,447.0,50.0,117.0,25.0,0.0,11.0,56.0,27.0,3.0,113.0,7.0,1.0,0.262,0.307,0.391,0.698,-0.4,,,,,,,,,,,,,,,312.006,84.5,24.5,114.5,52.0,70.0,209.0,1205.0,,,,,,,,,,,,,,47.0,77.25,63.0,,,92.41666666666667,60.0,,,56.5
23,11,2,12.0,Shohei Ohtani,¯\_(ツ)_/¯,3.0,,39832.0,20.0,,37.0,96.0,,,,,28.0,,,,,,,,,3.8,,0.0,35.0,2.69,20.0,0.0,117.0,165.0,5.9,7.0,0.0,10.0,0.588,1.06,,153.5,74.5,,,,,25.5,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,,114.0,101.0,,,,,,,
