_id,Week,Team,Team_Expected_Wins,Opponent,Opponent_Expected_Wins,Matchup_Difference,Matchup_Power,Team_Number,Player_Name
646b4c3e2e277d85aaa61c22,6,…beep…..beep…….beep,6.954545454545457,Movin’ On Up,8.5,-1.55,15.45,4,Bryant
646b4c3e2e277d85aaa61c23,6,[ABN] Rain,4.909090909090908,Camp Lejeune,2.8181818181818183,2.09,7.73,5,Greg
646b4c3e2e277d85aaa61c24,6,The Slobberknockers,6.363636363636364,Ian Cumsler,4.818181818181818,1.55,11.18,6,Josh
646b4c3e2e277d85aaa61c25,6,Ian Cumsler,4.818181818181818,The Slobberknockers,6.363636363636364,-1.55,11.18,7,Eric
646b4c3e2e277d85aaa61c26,6,Movin’ On Up,8.5,…beep…..beep…….beep,6.954545454545457,1.55,15.45,8,David
646b4c3e2e277d85aaa61c27,6,Camp Lejeune,2.8181818181818183,[ABN] Rain,4.909090909090908,-2.09,7.73,9,Jamie
646b4c3e2e277d85aaa61c28,6,The Rosterbation Station,6.727272727272727,scoopski potatoes,4.7727272727272725,1.95,11.5,10,Kevin
646b4c3e2e277d85aaa61c29,6,scoopski potatoes,4.7727272727272725,The Rosterbation Station,6.727272727272727,-1.95,11.5,11,Mikey
646b4c3e2e277d85aaa61c2a,6,¯\_(ツ)_/¯,6.909090909090908,Moniebol 🐳 (BUY $ASO),7.818181818181818,-0.91,14.73,12,Cooch
646b4c612e277d85aaa61c2c,7,#Justice4GallenBird,1.681818181818182,scoopski potatoes,6.954545454545454,-5.27,8.64,1,Taylor
646b4c612e277d85aaa61c2d,7,Moniebol 🐳 (BUY $ASO),6.09090909090909,[ABN] Rain,8.090909090909092,-2.0,14.18,2,Austin
646b4c612e277d85aaa61c2e,7,Vinnie Pepperonis,6.636363636363636,¯\_(ツ)_/¯,5.590909090909092,1.05,12.23,3,Kurtis
646b4c612e277d85aaa61c2f,7,…beep…..beep…….beep,4.3181818181818175,The Rosterbation Station,8.272727272727273,-3.95,12.59,4,Bryant
646b4c612e277d85aaa61c30,7,[ABN] Rain,8.090909090909092,Moniebol 🐳 (BUY $ASO),6.09090909090909,2.0,14.18,5,Greg
646b4c612e277d85aaa61c31,7,The Slobberknockers,6.181818181818182,Movin’ On Up,8.181818181818182,-2.0,14.36,6,Josh
646b4c612e277d85aaa61c32,7,Ian Cumsler,7.090909090909092,Camp Lejeune,2.909090909090909,4.18,10.0,7,Eric
646b4c612e277d85aaa61c33,7,Movin’ On Up,8.181818181818182,The Slobberknockers,6.181818181818182,2.0,14.36,8,David
646b4c612e277d85aaa61c34,7,Camp Lejeune,2.909090909090909,Ian Cumsler,7.090909090909092,-4.18,10.0,9,Jamie
646b4c612e277d85aaa61c35,7,The Rosterbation Station,8.272727272727273,…beep…..beep…….beep,4.3181818181818175,3.95,12.59,10,Kevin
646b4c612e277d85aaa61c36,7,scoopski potatoes,6.954545454545454,#Justice4GallenBird,1.681818181818182,5.27,8.64,11,Mikey
646b4c612e277d85aaa61c37,7,¯\_(ツ)_/¯,5.590909090909092,Vinnie Pepperonis,6.636363636363636,-1.05,12.23,12,Cooch
