,Round,Pick,Player,Team
2,11,3.0,Chris Bassitt,Hooked On Kw...
3,11,4.0,Marcus Stroman,The Rosterba...
4,11,5.0,Jordan Romano,#LagrastaWeek
5,11,6.0,Trent Grisham,Grand Salami...
6,11,7.0,Giovanny Gallegos,Rickie Flower
7,11,8.0,Blake Treinen,Ian Cumsler
8,11,9.0,Hyun Jin Ryu,Former 2A Hi...
9,11,10.0,Jake Cronenworth,Midas Well
10,11,11.0,Blake Snell,SQUEEZE AGS
11,11,12.0,Michael Kopech,Dookie Butts
0,12,1.0,Corey Knebel,Dookie Butts
1,12,2.0,Anthony Rizzo,SQUEEZE AGS
2,12,3.0,Dylan Carlson,Midas Well
3,12,4.0,Lourdes Gurriel Jr.,Former 2A Hi...
4,12,5.0,David Bednar,Ian Cumsler
5,12,6.0,Yasmani Grandal,¯\_(ツ)_/¯
6,12,7.0,Nathan Eovaldi,Grand Salami...
7,12,8.0,Tyler Mahle,#LagrastaWeek
8,12,9.0,Matt Chapman,The Rosterba...
9,12,10.0,Chris Taylor,Former 2A Hi...
10,12,11.0,Willy Adames,$LZ to $15 $...
11,12,12.0,Taylor Rogers,¯\_(ツ)_/¯
0,13,1.0,Marcell Ozuna,¯\_(ツ)_/¯
1,13,2.0,Daulton Varsho,$LZ to $15 $...
2,13,3.0,Camilo Doval,Former 2A Hi...
3,13,4.0,Ian Anderson,The Rosterba...
4,13,5.0,Mike Clevinger,#LagrastaWeek
5,13,6.0,Seiya Suzuki,Grand Salami...
6,13,7.0,Pablo López,Rickie Flower
7,13,8.0,Josh Bell,Ian Cumsler
8,13,9.0,Trey Mancini,Hooked On Kw...
9,13,10.0,Sonny Gray,Midas Well
10,13,11.0,Willson Contreras,SQUEEZE AGS
11,13,12.0,Austin Meadows,Dookie Butts
0,14,1.0,Mark Melancon,Dookie Butts
1,14,2.0,C.J. Cron,SQUEEZE AGS
2,14,3.0,Joey Votto,Midas Well
3,14,4.0,Keibert Ruiz,Former 2A Hi...
