,Team,Player,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted
1209,,Omar Vizquel,2149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1210,,Dan Vogelbach,32851.0,67.0,171.0,23.0,37.0,8.0,0.0,7.0,16.0,27.0,0.0,42.0,0.0,0.0,0.216,0.323,0.386,0.709,-0.1,,,,,,,,,,,,,,,121.23899999999999
1211,,Stephen Vogt,31032.0,52.0,132.0,17.0,28.0,6.0,1.0,5.0,17.0,18.0,0.0,36.0,0.0,0.0,0.212,0.307,0.386,0.693,0.1,,,,,,,,,,,,,,,91.476
1212,Moniebol,Luke Voit,35201.0,31.0,117.0,14.0,28.0,3.0,1.0,4.0,13.0,11.0,3.0,39.0,0.0,0.0,0.239,0.321,0.385,0.705,0.3,59.0,,,,,,,,,,,,,,82.485
1213,,Joey Votto,28670.0,84.0,304.0,45.0,84.0,15.0,1.0,23.0,68.0,42.0,3.0,82.0,1.0,0.0,0.276,0.368,0.559,0.927,1.6,,,,,,,,,,,,,,,281.808
1214,,LaMonte Wade,37798.0,60.0,184.0,30.0,46.0,8.0,2.0,13.0,33.0,21.0,3.0,51.0,3.0,0.0,0.25,0.335,0.527,0.862,0.8,,,,,,,,,,,,,,,158.608
1215,,Tyler Wade,33878.0,69.0,81.0,21.0,20.0,2.0,1.0,0.0,4.0,9.0,0.0,21.0,8.0,3.0,0.247,0.322,0.296,0.619,0.2,,,,,,,,,,,,,,,50.139
1216,Yelich My Balls,Christian Walker,32758.0,72.0,263.0,33.0,61.0,14.0,1.0,5.0,29.0,19.0,3.0,67.0,0.0,0.0,0.232,0.289,0.35,0.639,-0.1,160.0,,,,,,,,,,,,,,168.05700000000002
1217,,Neil Walker,29590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1218,,Brett Wallace,30174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1219,,Chad Wallach,33678.0,22.0,60.0,2.0,12.0,2.0,1.0,0.0,6.0,3.0,1.0,32.0,0.0,0.0,0.2,0.242,0.267,0.509,-0.8,,,,,,,,,,,,,,,30.54
1220,,Taylor Walls,40576.0,39.0,113.0,10.0,24.0,10.0,0.0,1.0,13.0,17.0,0.0,35.0,3.0,2.0,0.212,0.315,0.327,0.643,1.4,,,,,,,,,,,,,,,72.659
1221,,Colin Walsh,34296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1222,Hold The Line,Jared Walsh,35673.0,98.0,364.0,47.0,97.0,23.0,1.0,22.0,67.0,26.0,3.0,109.0,2.0,1.0,0.266,0.32,0.516,0.836,1.7,204.0,,,,,,,,,,,,,,304.304
1223,,Zach Walters,31199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1224,,Taylor Ward,34923.0,63.0,204.0,31.0,49.0,14.0,0.0,8.0,31.0,19.0,6.0,55.0,1.0,1.0,0.24,0.322,0.426,0.748,0.5,,,,,,,,,,,,,,,152.592
1225,,Jemile Weeks,30035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1226,,Rickie Weeks,5652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1227,,Casper Wells,30069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1228,,Vernon Wells,4166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1229,,Joey Wendle,33017.0,92.0,309.0,54.0,86.0,24.0,2.0,7.0,37.0,19.0,7.0,74.0,6.0,5.0,0.278,0.331,0.437,0.768,2.8,,,,,,,,,,,,,,,237.312
1230,,Jayson Werth,4262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1231,,Ryan Wheeler,30758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1232,,Evan White,40326.0,30.0,97.0,8.0,14.0,3.0,0.0,2.0,9.0,6.0,1.0,31.0,0.0,0.0,0.144,0.202,0.237,0.439,-0.7,,,,,,,,,,,,,,,42.583
1233,,Tyler White,34968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1234,,Matt Wieters,29287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1235,,Ty Wigginton,5176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1236,,Steve Wilkerson,35076.0,30.0,72.0,5.0,12.0,3.0,0.0,0.0,2.0,3.0,1.0,30.0,2.0,0.0,0.167,0.211,0.208,0.419,-0.4,,,,,,,,,,,,,,,30.168
