,Team,Player,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted
34,Midas Well,Brian Anderson,33776.0,48.0,174.0,17.0,43.0,7.0,0.0,5.0,18.0,17.0,2.0,53.0,4.0,0.0,0.247,0.321,0.374,0.695,0.8,178.0,,,,,,,,,,,,,,120.92999999999999
35,,Lars Anderson,29299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
36,¯\_(ツ)_/¯,Tim Anderson,33184.0,97.0,411.0,70.0,123.0,23.0,1.0,12.0,44.0,18.0,1.0,95.0,16.0,7.0,0.299,0.329,0.448,0.777,3.4,20.0,,,,,,,,,,,,,,319.34700000000004
37,,Robert Andino,6414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
38,,John Andreoli,32847.0,7.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.167,0.286,0.333,0.619,0.0,,,,,,,,,,,,,,,3.714
39,,Elvis Andrus,29515.0,109.0,377.0,40.0,88.0,19.0,1.0,2.0,25.0,24.0,3.0,70.0,9.0,2.0,0.233,0.283,0.305,0.588,0.2,,,,,,,,,,,,,,,221.676
40,,Miguel Andujar,33743.0,45.0,154.0,19.0,39.0,2.0,0.0,6.0,12.0,7.0,0.0,28.0,0.0,1.0,0.253,0.284,0.383,0.667,-0.2,,,,,,,,,,,,,,,102.718
41,,Rick Ankiel,4159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
42,,Dean Anna,30851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
43,,Norichika Aoki,32053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
44,,Aristides Aquino,33785.0,47.0,96.0,14.0,22.0,5.0,1.0,7.0,14.0,15.0,1.0,42.0,1.0,2.0,0.229,0.333,0.521,0.854,0.5,,,,,,,,,,,,,,,81.984
45,,Jonathan Arauz,34963.0,11.0,24.0,2.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.25,0.333,0.292,0.625,-0.1,,,,,,,,,,,,,,,15.0
46,,Francisco Arcia,32437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
47,,Orlando Arcia,32530.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.091,0.091,0.091,0.182,-0.1,,,,,,,,,,,,,,,2.002
48,,Oswaldo Arcia,31262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
49,OGsecondHand,Nolan Arenado,31261.0,109.0,417.0,53.0,109.0,28.0,2.0,22.0,68.0,33.0,3.0,62.0,1.0,0.0,0.261,0.318,0.496,0.814,2.9,9.0,,,,,,,,,,,,,,339.438
50,,J.P. Arencibia,29537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
51,,Joaquin Arias,28603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
52,Midas Well,Randy Arozarena,36488.0,100.0,384.0,67.0,104.0,21.0,2.0,16.0,52.0,38.0,8.0,116.0,11.0,7.0,0.271,0.347,0.461,0.808,2.9,34.0,,,,,,,,,,,,,,310.27200000000005
53,Kershaw?2,Luis Arraez,39572.0,78.0,274.0,42.0,87.0,12.0,4.0,1.0,27.0,28.0,2.0,31.0,1.0,1.0,0.318,0.38,0.401,0.781,2.9,214.0,,,,,,,,,,,,,,213.994
54,,Christian Arroyo,33185.0,50.0,155.0,21.0,42.0,12.0,0.0,6.0,25.0,7.0,6.0,41.0,1.0,0.0,0.271,0.327,0.465,0.792,1.5,,,,,,,,,,,,,,,122.76
55,,Humberto Arteaga,33522.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,,,,,,,,,,,,,,,0.0
56,,Cody Asche,32637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
57,,Willians Astudillo,34878.0,56.0,157.0,15.0,42.0,7.0,0.0,6.0,18.0,2.0,3.0,11.0,0.0,0.0,0.268,0.288,0.427,0.715,0.0,,,,,,,,,,,,,,,112.255
58,,Carlos Asuaje,33892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
59,,Garrett Atkins,5507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
60,,Tyler Austin,32161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
61,,Xavier Avery,30827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
62,,Alex Avila,30115.0,24.0,66.0,4.0,11.0,6.0,1.0,0.0,6.0,17.0,1.0,30.0,0.0,0.0,0.167,0.345,0.288,0.633,0.4,,,,,,,,,,,,,,,41.778
63,,Mike Aviles,29145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
64,,Erick Aybar,6522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
65,,Akil Baddoo,40634.0,92.0,297.0,44.0,79.0,18.0,5.0,10.0,44.0,31.0,0.0,88.0,14.0,4.0,0.266,0.333,0.461,0.795,1.5,,,,,,,,,,,,,,,236.115
66,,Harrison Bader,35062.0,53.0,186.0,22.0,51.0,9.0,0.0,9.0,28.0,18.0,2.0,39.0,6.0,2.0,0.274,0.341,0.468,0.809,2.1,,,,,,,,,,,,,,,150.47400000000002
67,Kershaw?2,Javier Baez,32127.0,91.0,335.0,48.0,83.0,9.0,2.0,22.0,65.0,15.0,7.0,131.0,13.0,3.0,0.248,0.292,0.484,0.775,2.9,51.0,,,,,,,,,,,,,,259.625
68,,Jeff Baker,5371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
69,,John Baker,29183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
70,,Jett Bandy,32056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
71,,Rod Barajas,4207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
72,,Clint Barmes,5798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
73,,Austin Barnes,32856.0,56.0,150.0,21.0,34.0,7.0,0.0,4.0,17.0,19.0,4.0,43.0,0.0,0.0,0.227,0.329,0.353,0.683,0.5,,,,,,,,,,,,,,,102.45
74,,Brandon Barnes,30732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
75,,Darwin Barney,29567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
76,,Tucker Barnhart,31173.0,83.0,252.0,34.0,67.0,18.0,0.0,6.0,36.0,22.0,6.0,78.0,0.0,0.0,0.266,0.338,0.409,0.747,0.9,,,,,,,,,,,,,,,188.244
77,,Franklin Barreto,33226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
78,,Joey Bart,41168.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.333,0.333,0.333,0.667,0.0,,,,,,,,,,,,,,,4.002000000000001
79,,Jason Bartlett,6044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
80,,Daric Barton,6397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
81,,Jake Bauers,35013.0,43.0,100.0,7.0,19.0,3.0,0.0,2.0,6.0,12.0,0.0,27.0,0.0,1.0,0.19,0.277,0.28,0.557,-0.3,,,,,,,,,,,,,,,55.7
82,,Jose Bautista,5890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
83,,Rafael Bautista,33510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
84,,Mike Baxter,29723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
85,,Jason Bay,5496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
86,,Matt Beaty,37004.0,92.0,170.0,28.0,42.0,3.0,1.0,4.0,30.0,19.0,8.0,36.0,1.0,1.0,0.247,0.35,0.347,0.697,-0.3,,,,,,,,,,,,,,,118.49
87,,Gordon Beckham,30117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
88,,Tim Beckham,30212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
89,,Cody Bellinger,33912.0,53.0,189.0,30.0,33.0,3.0,2.0,7.0,24.0,24.0,1.0,56.0,2.0,0.0,0.175,0.269,0.323,0.591,-0.5,,,,,,,,,,,,,,,111.699
90,¯\_(ツ)_/¯,Josh Bell,32517.0,97.0,329.0,53.0,82.0,15.0,1.0,19.0,60.0,30.0,1.0,76.0,0.0,0.0,0.249,0.313,0.474,0.787,1.0,140.0,,,,,,,,,,,,,,258.923
91,,Brandon Belt,30901.0,59.0,183.0,35.0,48.0,7.0,2.0,15.0,35.0,30.0,2.0,68.0,3.0,1.0,0.262,0.37,0.568,0.939,1.5,,,,,,,,,,,,,,,171.837
92,,Adrian Beltre,3878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
93,,Carlos Beltran,3971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
94,,Anthony Bemboom,34102.0,8.0,27.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.222,0.25,0.222,0.472,-0.1,,,,,,,,,,,,,,,12.744
95,Ian Cumsler,Andrew Benintendi,34986.0,84.0,301.0,42.0,77.0,11.0,1.0,11.0,39.0,24.0,1.0,66.0,8.0,7.0,0.256,0.31,0.409,0.719,0.5,143.0,,,,,,,,,,,,,,216.41899999999998
96,,Joe Benson,30849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
97,,Lance Berkman,4118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
98,,Roger Bernadina,29173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
99,,Quintin Berry,30418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
100,,Jon Berti,32273.0,85.0,233.0,35.0,49.0,10.0,1.0,4.0,19.0,32.0,3.0,61.0,8.0,4.0,0.21,0.311,0.313,0.624,0.8,,,,,,,,,,,,,,,145.392
101,,Yuniesky Betancourt,6218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
102,,Wilson Betemit,4968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
103,,Mookie Betts,33039.0,87.0,336.0,68.0,93.0,25.0,3.0,17.0,44.0,49.0,8.0,64.0,7.0,3.0,0.277,0.378,0.521,0.899,3.8,,,,,,,,,,,,,,,302.064
104,,Jeff Bianchi,31760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
105,,Bo Bichette,38904.0,110.0,441.0,86.0,128.0,19.0,1.0,20.0,77.0,30.0,4.0,99.0,17.0,0.0,0.29,0.34,0.474,0.814,3.5,,,,,,,,,,,,,,,358.974
106,AGS,Cavan Biggio,37639.0,77.0,246.0,26.0,53.0,10.0,1.0,7.0,26.0,37.0,1.0,78.0,3.0,1.0,0.215,0.316,0.35,0.666,0.2,54.0,,,,,,,,,,,,,,163.836
107,,Greg Bird,32695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
108,,Braden Bishop,35033.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.25,0.5,0.0,,,,,,,,,,,,,,,2.0
109,,Brian Bixler,29089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
110,Midas Well,Charlie Blackmon,31084.0,105.0,361.0,48.0,98.0,18.0,3.0,7.0,51.0,40.0,8.0,51.0,2.0,0.0,0.271,0.356,0.396,0.752,0.4,58.0,,,,,,,,,,,,,,271.472
111,,Casey Blake,4149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
112,,Andres Blanco,5943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
113,,Gregor Blanco,28661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
114,,Henry Blanco,3701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
115,,Alex Blandino,33851.0,43.0,70.0,9.0,14.0,4.0,0.0,0.0,5.0,8.0,4.0,28.0,1.0,0.0,0.2,0.317,0.257,0.574,-0.2,,,,,,,,,,,,,,,40.18
116,,Kyle Blanks,29724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
117,,Jabari Blash,31765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
118,,Willie Bloomquist,4603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
119,,Brennan Boesch,29378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
120,Midas Well,Xander Bogaerts,31606.0,106.0,389.0,65.0,118.0,30.0,0.0,16.0,56.0,41.0,4.0,80.0,5.0,1.0,0.303,0.37,0.504,0.873,3.3,15.0,,,,,,,,,,,,,,339.597
121,,Brian Bogusevic,30029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
122,Hold The Line,Alec Bohm,41169.0,102.0,354.0,44.0,90.0,14.0,0.0,7.0,46.0,30.0,1.0,101.0,4.0,0.0,0.254,0.311,0.353,0.664,-0.6,108.0,,,,,,,,,,,,,,235.056
123,,Emilio Bonifacio,28877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
124,,Jorge Bonifacio,32153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
125,,Julio Borbon,30014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
126,,J.C. Boscan,29554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
127,,David Bote,35246.0,65.0,191.0,21.0,39.0,9.0,0.0,6.0,29.0,18.0,3.0,45.0,0.0,1.0,0.204,0.28,0.346,0.626,-0.2,,,,,,,,,,,,,,,119.566
128,,Jason Bourgeois,29262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
129,,Peter Bourjos,29318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
130,,Justin Bour,31453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
131,,Michael Bourn,28535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
132,,Bobby Bradley,33858.0,46.0,150.0,26.0,32.0,7.0,0.0,11.0,25.0,18.0,5.0,62.0,0.0,0.0,0.213,0.316,0.48,0.796,0.1,,,,,,,,,,,,,,,119.4
133,,Jackie Bradley Jr.,32362.0,97.0,307.0,30.0,54.0,10.0,3.0,6.0,28.0,23.0,9.0,100.0,6.0,1.0,0.176,0.251,0.287,0.538,-0.1,,,,,,,,,,,,,,,165.166
134,,Milton Bradley,4245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
135,Ian Cumsler,Michael Brantley,30043.0,89.0,350.0,56.0,115.0,27.0,2.0,7.0,37.0,26.0,4.0,40.0,1.0,0.0,0.329,0.381,0.477,0.858,3.1,119.0,,,,,,,,,,,,,,300.3
136,,Rob Brantly,31133.0,5.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.125,0.176,0.188,0.364,-0.1,,,,,,,,,,,,,,,5.824
137,,Russell Branyan,3988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
138,,Ryan Braun,28721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
139,AGS,Alex Bregman,34886.0,59.0,229.0,37.0,63.0,14.0,0.0,7.0,34.0,29.0,2.0,42.0,1.0,0.0,0.275,0.359,0.428,0.787,1.6,3.0,,,,,,,,,,,,,,180.223
140,,Jose Briceno,32545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
141,,Reid Brignac,28707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
142,,Lewis Brinson,32819.0,46.0,123.0,12.0,33.0,10.0,0.0,5.0,19.0,5.0,1.0,38.0,0.0,0.0,0.268,0.302,0.472,0.774,1.0,,,,,,,,,,,,,,,95.202
143,,Socrates Brito,32485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
144,,Michael Brosseau,40533.0,55.0,143.0,20.0,26.0,8.0,0.0,4.0,17.0,15.0,2.0,53.0,2.0,0.0,0.182,0.265,0.322,0.587,0.9,,,,,,,,,,,,,,,83.94099999999999
145,,Andrew Brown,31409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
146,,Domonic Brown,29673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
147,,Gary Brown,31014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
148,,Seth Brown,35676.0,82.0,197.0,29.0,41.0,7.0,1.0,14.0,32.0,21.0,1.0,59.0,3.0,0.0,0.208,0.286,0.467,0.753,0.9,,,,,,,,,,,,,,,148.341
149,,Trevor Brown,33484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
150,,Keon Broxton,30755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
151,,Jay Bruce,28954.0,10.0,34.0,3.0,4.0,1.0,0.0,1.0,3.0,5.0,0.0,13.0,0.0,0.0,0.118,0.231,0.235,0.466,-0.3,,,,,,,,,,,,,,,15.844000000000001
152,,Jaycob Brugman,34686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
153,,Vidal Brujan,40462.0,10.0,26.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.077,0.077,0.077,0.154,-0.6,,,,,,,,,,,,,,,4.004
154,AGS,Kris Bryant,33172.0,93.0,326.0,58.0,87.0,19.0,2.0,18.0,51.0,39.0,8.0,89.0,4.0,2.0,0.267,0.358,0.503,0.861,2.4,70.0,,,,,,,,,,,,,,280.686
155,,John Buck,5407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
156,,Jake Burger,39882.0,15.0,38.0,5.0,10.0,3.0,1.0,1.0,3.0,4.0,0.0,15.0,0.0,0.0,0.263,0.333,0.474,0.807,0.4,,,,,,,,,,,,,,,30.666
157,,Billy Burns,32860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
158,,Pat Burrell,4214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
159,,Drew Butera,29436.0,12.0,32.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.094,0.091,0.125,0.216,-0.5,,,,,,,,,,,,,,,6.912
160,,Billy Butler,6396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
161,,Joey Butler,30640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
