_id,index,Team Name,R_Stats,H_Stats,HR_Stats,RBI_Stats,SB_Stats,OPS_Stats,HRA_Stats,ERA_Stats,WHIP_Stats,K9_Stats,QS_Stats,SVH_Stats,R_Rank_Stats,H_Rank_Stats,HR_Rank_Stats,RBI_Rank_Stats,SB_Rank_Stats,OPS_Rank_Stats,HRA_Rank_Stats,ERA_Rank_Stats,WHIP_Rank_Stats,K9_Rank_Stats,QS_Rank_Stats,SVH_Rank_Stats,R_Record,H_Record,HR_Record,SB_Record,OPS_Record,RBI_Record,HRA_Record,ERA_Record,WHIP_Record,K9_Record,QS_Record,SVH_Record,Rank,GB,Moves,R_Rank_Record,H_Rank_Record,HR_Rank_Record,SB_Rank_Record,OPS_Rank_Record,RBI_Rank_Record,HRA_Rank_Record,ERA_Rank_Record,WHIP_Rank_Record,K9_Rank_Record,QS_Rank_Record,SVH_Rank_Record,Stats_Power_Score,Stats_Power_Rank,Week,Variation,Team_Number
64441264806d62d30afc81d5,11,¯\_(ツ)_/¯,67,121,16,62,7,0.704,10,2.95,1.24,10.77,7,12,12.0,12.0,9.5,11.0,11.0,11.0,6.5,4.0,5.5,2.0,6.5,7.0,"[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[0, 1, 1]","[1, 0, 1]","[0, 0, 2]","[0, 1, 1]","[2, 0, 0]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]",10,9.5,26,10.5,11.0,6.5,9.0,6.5,11.0,10.5,2.5,6.5,6.5,6.0,6.5,8.166666666666666,11.0,2,1.0,12,Cooch
64466146c0328c84e80d0a69,0,🎤🐟,117,190,27,101,16,0.762,10,3.02,1.12,11.62,12,18,6.0,7.5,7.5,6.5,8.0,7.0,2.0,4.0,4.0,1.0,2.5,7.5,"[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[1, 1, 1]","[1, 0, 2]","[1, 0, 2]","[2, 1, 0]","[2, 0, 1]","[3, 0, 0]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]",3,6.5,5,8.5,9.0,8.0,6.0,8.5,8.5,1.0,4.0,1.0,1.5,3.5,4.0,5.291666666666667,3.0,3,0.0,1,Taylor
64466146c0328c84e80d0a6a,1,Moniebol 🐳 (113 Ws remaining),129,212,47,161,13,0.827,7,2.2,0.99,9.94,11,13,2.0,2.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,5.0,5.0,10.0,"[2, 0, 1]","[3, 0, 0]","[3, 0, 0]","[1, 0, 2]","[3, 0, 0]","[3, 0, 0]","[2, 0, 1]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]","[1, 1, 1]",1,-,18,4.5,1.0,2.0,8.5,1.5,1.5,3.5,1.5,4.0,4.5,3.5,7.0,3.5833333333333335,1.0,3,0.0,2,Austin
64466146c0328c84e80d0a6b,2,Vinnie Pepperonis,126,190,41,113,14,0.828,18,4.17,1.32,9.02,6,23,3.0,7.5,2.5,4.0,9.0,3.0,8.0,10.0,10.0,10.0,10.5,3.5,"[3, 0, 0]","[2, 0, 1]","[3, 0, 0]","[1, 0, 2]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]","[1, 0, 2]","[1, 0, 2]","[0, 0, 3]","[0, 2, 1]","[0, 1, 2]",4,8,10,1.5,4.5,2.0,8.5,1.5,4.5,3.5,8.5,9.0,11.5,10.5,10.5,6.75,7.0,3,3.0,3,Kurtis
64466146c0328c84e80d0a70,7,SHITTING IN BRYANT’S MOUTH,104,180,23,85,17,0.75,22,4.83,1.22,10.42,6,24,10.0,11.0,10.0,12.0,7.0,8.0,10.5,12.0,5.5,3.0,10.5,2.0,"[1, 0, 2]","[0, 0, 3]","[0, 0, 3]","[1, 0, 2]","[0, 0, 3]","[0, 0, 3]","[1, 0, 2]","[1, 0, 2]","[2, 0, 1]","[2, 0, 1]","[0, 2, 1]","[2, 0, 1]",12,16.5,10,8.5,11.5,11.0,8.5,11.0,11.5,9.5,8.5,4.0,4.5,10.5,4.0,8.458333333333334,10.0,3,-2.0,8,David
64466146c0328c84e80d0a73,10,AGS,101,179,17,97,20,0.693,15,3.69,1.22,8.87,12,16,11.0,12.0,12.0,10.0,4.5,12.0,6.5,7.0,5.5,11.0,2.5,9.0,"[2, 0, 1]","[2, 0, 1]","[0, 0, 3]","[2, 0, 1]","[1, 0, 2]","[1, 0, 2]","[2, 0, 1]","[1, 0, 2]","[2, 0, 1]","[1, 0, 2]","[3, 0, 0]","[1, 1, 1]",5,9,21,4.5,4.5,11.0,4.0,8.5,8.5,3.5,8.5,4.0,8.5,1.0,7.0,8.583333333333334,11.0,3,6.0,11,Mikey
64466146c0328c84e80d0a6c,3,BREATHE BABY BREATHE,100,189,27,101,20,0.734,15,4.13,1.28,9.46,10,23,12.0,9.0,7.5,6.5,4.5,11.0,6.5,9.0,8.0,9.0,6.0,3.5,"[0, 0, 3]","[0, 0, 3]","[1, 0, 2]","[2, 0, 1]","[0, 0, 3]","[0, 0, 3]","[2, 0, 1]","[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[2, 0, 1]","[0, 2, 1]",11,16.5,14,11.5,11.5,8.0,4.0,11.0,11.5,3.5,8.5,9.0,8.5,3.5,9.0,7.708333333333333,9.0,3,-2.0,4,Bryant
64466146c0328c84e80d0a6d,4,Mo City Don,120,207,41,121,19,0.852,26,4.32,1.27,9.76,12,7,4.5,3.5,2.5,2.0,6.0,2.0,12.0,11.0,7.0,7.0,2.5,12.0,"[3, 0, 0]","[2, 0, 1]","[3, 0, 0]","[1, 0, 2]","[2, 0, 1]","[3, 0, 0]","[0, 1, 2]","[0, 0, 3]","[0, 0, 3]","[0, 0, 3]","[1, 0, 2]","[0, 1, 2]",9,11.5,4,1.5,4.5,2.0,8.5,5.0,1.5,11.5,12.0,12.0,11.5,8.0,10.5,6.0,6.0,3,-3.0,5,Greg
64466146c0328c84e80d0a72,9,The Rosterbation Station,133,201,35,103,25,0.823,22,2.99,1.04,9.8,9,21,1.0,5.0,4.0,5.0,2.0,5.0,10.5,3.0,2.0,6.0,7.0,5.0,"[2, 0, 1]","[2, 0, 1]","[2, 0, 1]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]","[1, 1, 1]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]","[1, 1, 1]","[3, 0, 0]",2,1.5,12,4.5,4.5,5.0,1.5,5.0,4.5,7.0,1.5,4.0,4.5,6.0,1.0,4.625,2.0,3,0.0,10,Kevin
64466146c0328c84e80d0a6e,5,The Slobberknockers,105,199,22,98,24,0.735,13,2.39,1.05,10.86,12,20,9.0,6.0,11.0,8.5,3.0,10.0,3.0,2.0,3.0,2.0,2.5,6.0,"[0, 0, 3]","[1, 0, 2]","[0, 0, 3]","[3, 0, 0]","[0, 0, 3]","[1, 0, 2]","[1, 1, 1]","[2, 0, 1]","[2, 0, 1]","[3, 0, 0]","[2, 0, 1]","[2, 0, 1]",6,10,37,11.5,9.0,11.0,1.5,11.0,8.5,7.0,4.0,4.0,1.5,3.5,4.0,5.5,4.0,3,-2.0,6,Josh
64466146c0328c84e80d0a6f,6,Ian Cumsler,120,233,29,119,30,0.909,14,3.64,1.34,8.7,6,8,4.5,1.0,6.0,3.0,1.0,1.0,4.5,5.0,12.0,12.0,10.5,11.0,"[1, 0, 2]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]","[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[0, 0, 3]",8,11.5,8,8.5,4.5,5.0,4.0,5.0,4.5,9.5,8.5,9.0,8.5,8.0,12.0,5.958333333333333,5.0,3,-3.0,7,Eric
64466146c0328c84e80d0a71,8,Camp Lejeune,115,207,30,98,5,0.82,14,3.66,1.29,9.75,6,35,7.5,3.5,5.0,8.5,12.0,6.0,4.5,6.0,9.0,8.0,10.5,1.0,"[2, 0, 1]","[2, 0, 1]","[1, 0, 2]","[0, 0, 3]","[2, 0, 1]","[2, 0, 1]","[1, 1, 1]","[1, 0, 2]","[1, 0, 2]","[2, 0, 1]","[0, 1, 2]","[2, 1, 0]",7,10,20,4.5,4.5,8.0,12.0,5.0,4.5,7.0,8.5,9.0,4.5,12.0,2.0,6.791666666666667,8.0,3,1.0,9,Jamie
64466146c0328c84e80d0a74,11,¯\_(ツ)_/¯,115,183,25,95,10,0.743,19,4.02,1.33,10.2,8,18,7.5,10.0,9.0,11.0,11.0,9.0,9.0,8.0,11.0,4.0,8.0,7.5,"[1, 0, 2]","[1, 0, 2]","[2, 0, 1]","[0, 1, 2]","[2, 0, 1]","[1, 0, 2]","[0, 1, 2]","[2, 0, 1]","[1, 0, 2]","[1, 0, 2]","[1, 0, 2]","[1, 1, 1]",10,13,26,8.5,9.0,5.0,11.0,5.0,8.5,11.5,4.0,9.0,8.5,8.0,7.0,8.75,12.0,3,2.0,12,Cooch
644f9bdaa877791198ec2aca,0,Blackout Rage Gallen,151,249,39,136,17,0.777,17,3.07,1.11,11.44,15,20,5.0,6.0,6.0,7.0,9.5,7.0,2.0,3.0,3.0,1.0,2.0,9.0,"[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[1, 1, 2]","[2, 0, 2]","[2, 0, 2]","[2, 1, 1]","[2, 0, 2]","[3, 0, 1]","[3, 0, 1]","[2, 0, 2]","[2, 0, 2]",5,7.5,6,6.5,7.0,7.0,9.5,7.5,7.0,3.5,6.5,2.5,3.0,6.0,6.0,5.041666666666667,3.0,4,-2.0,1,Taylor
644f9bdaa877791198ec2acb,1,Moniebol 🐳 (107 Ws Remaining),159,260,54,183,17,0.793,8,2.18,0.99,10.22,14,17,3.0,4.0,1.0,1.0,9.5,5.0,1.0,1.0,1.0,4.0,3.5,10.0,"[2, 0, 2]","[3, 0, 1]","[3, 0, 1]","[2, 0, 2]","[3, 0, 1]","[3, 0, 1]","[3, 0, 1]","[4, 0, 0]","[3, 0, 1]","[3, 0, 1]","[3, 0, 1]","[1, 1, 2]",1,-,23,6.5,2.5,3.0,6.0,3.5,2.5,1.5,1.0,2.5,3.0,2.0,9.0,3.6666666666666665,1.0,4,0.0,2,Austin
644f9bdaa877791198ec2acc,2,Vinnie Pepperonis,157,246,50,140,19,0.814,22,3.68,1.25,9.92,7,29,4.0,9.0,3.0,4.0,8.0,4.0,7.5,6.0,8.0,6.0,12.0,4.5,"[3, 0, 1]","[3, 0, 1]","[4, 0, 0]","[1, 0, 3]","[4, 0, 0]","[3, 0, 1]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[1, 0, 3]","[0, 2, 2]","[0, 1, 3]",4,7,10,3.5,2.5,1.0,11.0,1.0,2.5,6.5,6.5,7.0,10.0,11.0,10.5,6.333333333333333,6.0,4,2.0,3,Kurtis
644f9bdaa877791198ec2acd,3,BREATHE BABY BREATHE,131,248,38,137,26,0.757,18,3.91,1.2,9.27,13,33,10.0,7.5,7.0,6.0,5.5,8.0,3.5,9.0,6.0,9.0,5.5,2.0,"[0, 0, 4]","[1, 0, 3]","[2, 0, 2]","[2, 0, 2]","[0, 0, 4]","[1, 0, 3]","[3, 0, 1]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[1, 2, 1]",10,14.5,16,12.0,10.5,7.0,6.0,11.0,10.5,1.5,6.5,7.0,6.5,6.0,7.5,6.583333333333333,7.0,4,-3.0,4,Bryant
644f9bdaa877791198ec2ace,4,Mo City Don,160,264,51,152,26,0.86,32,4.29,1.27,9.04,16,9,2.0,3.0,2.0,2.0,5.5,2.0,12.0,12.0,9.0,11.0,1.0,12.0,"[4, 0, 0]","[2, 0, 2]","[3, 0, 1]","[2, 0, 2]","[3, 0, 1]","[3, 0, 1]","[0, 1, 3]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[2, 0, 2]","[0, 1, 3]",8,13.5,7,1.0,7.0,3.0,6.0,3.5,2.5,12.0,12.0,12.0,12.0,6.0,10.5,6.125,5.0,4,-3.0,5,Greg
644f9bdaa877791198ec2acf,5,The Slobberknockers,127,248,29,119,27,0.723,19,3.24,1.15,10.75,13,27,11.0,7.5,11.0,11.0,4.0,11.0,5.5,4.0,4.0,2.0,5.5,6.0,"[0, 1, 3]","[1, 0, 3]","[0, 0, 4]","[3, 0, 1]","[0, 0, 4]","[1, 0, 3]","[1, 1, 2]","[2, 0, 2]","[2, 0, 2]","[4, 0, 0]","[2, 0, 2]","[2, 1, 1]",9,14,46,11.0,10.5,11.5,2.5,11.0,10.5,10.0,6.5,7.0,1.0,6.0,4.5,6.875,9.0,4,0.0,6,Josh
